Class ID,Class Name,IoU (%)
0,road,96.61521242944092
1,sidewalk,74.7924379464401
2,building,89.8298120475409
3,wall,58.14925199543849
4,fence,49.43681486912748
5,pole,8.56041277221041
6,traffic light,60.83020887776727
7,traffic sign,50.39979646626512
8,vegetation,89.49200364502036
9,terrain,60.7342479054749
10,sky,92.93853234387126
11,person,71.55018506408314
12,rider,12.312402851190946
13,car,90.56395493441718
14,truck,28.221865280351405
15,bus,75.36605773580585
16,train,38.01200449120351
17,motorcycle,57.80235698364484
18,bicycle,72.42604907131391
,mIoU (%),62.00176882687409
,Pixel Accuracy (%),93.57000379956352
