Class ID,Class Name,IoU (%)
0,road,97.53267537883768
1,sidewalk,80.25287752131504
2,building,91.08611514503825
3,wall,63.35882679337277
4,fence,52.70390857482546
5,pole,39.5828332499377
6,traffic light,63.069209137724044
7,traffic sign,65.95832276325466
8,vegetation,90.88477369365576
9,terrain,64.21295906817176
10,sky,94.11344201637365
11,person,72.84968523723384
12,rider,15.881932496789394
13,car,90.7184603033317
14,truck,17.895129428324086
15,bus,74.54714506375493
16,train,20.29889348921126
17,motorcycle,54.13701182742825
18,bicycle,73.0103217862191

mIoU (%),64.32076436709471
Pixel Accuracy (%),94.657933336391
