Class ID,Class Name,IoU (%)
0,road,97.43695385044899
1,sidewalk,80.29608112439017
2,building,91.23579489892207
3,wall,61.12360249970291
4,fence,54.290809204166145
5,pole,46.417567497342496
6,traffic light,63.76933594880087
7,traffic sign,68.4917298872577
8,vegetation,91.09573263005075
9,terrain,65.68339831667222
10,sky,94.31607811731153
11,person,73.8334653884772
12,rider,19.908576349492492
13,car,92.65729264711405
14,truck,68.85368232210483
15,bus,71.98439395903414
16,train,33.862929512829226
17,motorcycle,53.20111416577894
18,bicycle,74.05645174291611

mIoU (%),68.55342052962173
Pixel Accuracy (%),94.90500818026581
