Class ID,Class Name,IoU (%)
0,road,97.48818059903915
1,sidewalk,80.5249461647357
2,building,91.32039816451079
3,wall,59.07168177341651
4,fence,53.880377571035496
5,pole,47.76779909469475
6,traffic light,63.95769385866584
7,traffic sign,65.96571114963056
8,vegetation,91.12953353684115
9,terrain,64.78528701910562
10,sky,94.23284617034327
11,person,74.01182885441278
12,rider,21.29218346277003
13,car,92.20317234350061
14,truck,67.88644073574544
15,bus,71.01313477438823
16,train,39.968827170042054
17,motorcycle,49.30801231133104
18,bicycle,74.55649384655669

mIoU (%),68.4402394000403
Pixel Accuracy (%),94.90129331514493
