cat step7_erfnet_pixel_baselines/erfnet_temperature_results.csvmodel,dataset,method,auprc,fpr95
ERFNet,RoadAnomaly21,maxlogit,38.31958324026793,59.33707908692559
ERFNet,RoadAnomaly21,msp,29.09512513732962,62.54915982652598
ERFNet,RoadAnomaly21,entropy,30.96861282721754,62.65845671952056
ERFNet,RoadAnomaly,msp,12.422648767604713,82.57669255949727
ERFNet,RoadAnomaly,maxlogit,15.581981316601142,73.24767452553945
ERFNet,RoadAnomaly,entropy,12.668525033487931,82.74863478696527
ERFNet,RoadObsticle21,msp,2.7099753046401864,65.22501291750024
ERFNet,RoadObsticle21,maxlogit,4.626569030629886,48.443441222061765
ERFNet,RoadObsticle21,entropy,3.044404779912441,65.91177264537156
ERFNet,fs_static,msp,7.472041589039778,41.83784667103522
ERFNet,fs_static,maxlogit,9.498677592305315,40.30005674167059
ERFNet,fs_static,entropy,8.836484157970732,41.545990855781085
ERFNet,FS_LostFound_full,msp,1.7490384030530788,50.5972329152566
ERFNet,FS_LostFound_full,maxlogit,3.3014392821342815,45.49488761481691
ERFNet,FS_LostFound_full,entropy,2.583955485821339,50.162889259761926
