model,dataset,method,auprc,fpr95
ERFNet,RoadAnomaly21,msp,29.09512513732962,62.54915982652598
ERFNet,RoadAnomaly21,msp_t0.5,27.060834043478877,62.778237949449256
ERFNet,RoadAnomaly21,msp_t0.75,28.155282756818707,62.48741357670603
ERFNet,RoadAnomaly21,msp_t1.1,29.40109757716759,62.64704456515865
ERFNet,RoadAnomaly,msp,12.422648767604713,82.57669255949727
ERFNet,RoadAnomaly,msp_t0.5,12.18767394547305,85.9732012588339
ERFNet,RoadAnomaly,msp_t0.75,12.318219175757951,82.32552312244067
ERFNet,RoadAnomaly,msp_t1.1,12.460465418802707,82.73372591024545
ERFNet,RoadObsticle21,msp,2.7099753046401864,65.22501291750024
ERFNet,RoadObsticle21,msp_t0.5,2.4195511296675924,66.22444239457333
ERFNet,RoadObsticle21,msp_t0.75,2.5665775285811936,64.15424737344162
ERFNet,RoadObsticle21,msp_t1.1,2.7630935461779047,65.8675343473019
ERFNet,fs_static,msp,7.472041589039778,41.83784667103522
ERFNet,fs_static,msp_t0.5,6.601199770448946,44.85799821615903
ERFNet,fs_static,msp_t0.75,6.9910198077060395,42.51428362885415
ERFNet,fs_static,msp_t1.1,7.690237436921707,41.62206095696536
ERFNet,FS_LostFound_full,msp,1.7490384030530788,50.5972329152566
ERFNet,FS_LostFound_full,msp_t0.5,1.2802521035156567,100.0
ERFNet,FS_LostFound_full,msp_t0.75,1.4929860268763508,51.85393509496071
ERFNet,FS_LostFound_full,msp_t1.1,1.8614806261211487,50.17760476420452
