model,checkpoint,dataset,method,temperature,miou,auprc,fpr95,num_images,num_ood_pixels,num_ind_pixels
EoMT,eomt_coco,RoadAnomaly21,msp,1.0,,38.71805117931566,77.52158542523586,10,1317063,7578030
EoMT,eomt_coco,RoadAnomaly21,maxlogit,1.0,,39.02551286843461,77.03345064614419,10,1317063,7578030
EoMT,eomt_coco,RoadAnomaly21,entropy,1.0,,43.08147659955639,63.545987545575834,10,1317063,7578030
EoMT,eomt_coco,RoadAnomaly21,rba,1.0,,41.488960376064135,71.68304955245624,10,1317063,7578030
EoMT,eomt_coco,RoadObsticle21,msp,1.0,,2.7516464707493493,99.97984944130613,30,129782,19106170
EoMT,eomt_coco,RoadObsticle21,maxlogit,1.0,,2.7464072718046686,99.98043563937723,30,129782,19106170
EoMT,eomt_coco,RoadObsticle21,entropy,1.0,,8.288580376786761,99.98311016807659,30,129782,19106170
EoMT,eomt_coco,RoadObsticle21,rba,1.0,,2.7704540952022634,99.94519571426403,30,129782,19106170
EoMT,eomt_coco,RoadAnomaly,msp,1.0,,18.84913965664081,91.84777799663615,60,5446413,49849587
EoMT,eomt_coco,RoadAnomaly,maxlogit,1.0,,19.007785043618085,91.57654204838246,60,5446413,49849587
EoMT,eomt_coco,RoadAnomaly,entropy,1.0,,21.517097341625607,87.88909926174514,60,5446413,49849587
EoMT,eomt_coco,RoadAnomaly,rba,1.0,,21.304803231323415,82.39053414825683,60,5446413,49849587
EoMT,eomt_coco,fs_static,msp,1.0,,4.659001916442816,99.48092117751997,20,732524,34420206
EoMT,eomt_coco,fs_static,maxlogit,1.0,,4.666524546335602,99.4622199530125,20,732524,34420206
EoMT,eomt_coco,fs_static,entropy,1.0,,4.567454599694478,99.32666294908287,20,732524,34420206
EoMT,eomt_coco,fs_static,rba,1.0,,4.077273696354527,93.92522810583992,20,732524,34420206
EoMT,eomt_coco,FS_LostFound_full,msp,1.0,,3.7893197100075646,97.20518225498047,99,477664,168408155
EoMT,eomt_coco,FS_LostFound_full,maxlogit,1.0,,3.7790941803294524,97.2029567095489,99,477664,168408155
EoMT,eomt_coco,FS_LostFound_full,entropy,1.0,,3.7899036765901006,96.9060571918266,99,477664,168408155
EoMT,eomt_coco,FS_LostFound_full,rba,1.0,,2.823879131172171,95.17003852930995,99,477664,168408155
EoMT,eomt_cityscapes,RoadAnomaly21,msp,1.0,,68.09563873063868,30.422128178431596,10,1317063,7578030
EoMT,eomt_cityscapes,RoadAnomaly21,maxlogit,1.0,,67.49119536018513,31.590571692115233,10,1317063,7578030
EoMT,eomt_cityscapes,RoadAnomaly21,entropy,1.0,,68.37170536621619,30.61906590499114,10,1317063,7578030
EoMT,eomt_cityscapes,RoadAnomaly21,rba,1.0,,67.87210532148492,31.591587787327313,10,1317063,7578030
EoMT,eomt_cityscapes,RoadObsticle21,msp,1.0,,94.18765038906982,0.36658838479925593,30,129782,19106170
EoMT,eomt_cityscapes,RoadObsticle21,maxlogit,1.0,,94.22573713395946,0.3625164017696901,30,129782,19106170
EoMT,eomt_cityscapes,RoadObsticle21,entropy,1.0,,94.28295549674934,0.34885589314865306,30,129782,19106170
EoMT,eomt_cityscapes,RoadObsticle21,rba,1.0,,94.17803789166507,0.338356666982446,30,129782,19106170
EoMT,eomt_cityscapes,RoadAnomaly,msp,1.0,,71.35136317226491,15.447183143162249,60,5446413,49849587
EoMT,eomt_cityscapes,RoadAnomaly,maxlogit,1.0,,70.76849199382829,15.062925195348159,60,5446413,49849587
EoMT,eomt_cityscapes,RoadAnomaly,entropy,1.0,,74.19086462787737,14.68882380108786,60,5446413,49849587
EoMT,eomt_cityscapes,RoadAnomaly,rba,1.0,,70.40796331367206,14.175485546149059,60,5446413,49849587
EoMT,eomt_cityscapes,fs_static,msp,1.0,,58.1919895951857,43.46787756005877,20,732524,34420206
EoMT,eomt_cityscapes,fs_static,maxlogit,1.0,,58.37164607207064,46.91512014774112,20,732524,34420206
EoMT,eomt_cityscapes,fs_static,entropy,1.0,,56.9443329197621,43.803741325662024,20,732524,34420206
EoMT,eomt_cityscapes,fs_static,rba,1.0,,59.56913284052917,47.054889793512565,20,732524,34420206
EoMT,eomt_cityscapes,FS_LostFound_full,msp,1.0,,16.393849875477365,13.012709509227745,99,477664,168408155
EoMT,eomt_cityscapes,FS_LostFound_full,maxlogit,1.0,,16.377438397172863,12.776338533012252,99,477664,168408155
EoMT,eomt_cityscapes,FS_LostFound_full,entropy,1.0,,18.962785205018154,12.8271359543129,99,477664,168408155
EoMT,eomt_cityscapes,FS_LostFound_full,rba,1.0,,16.364439876551273,12.700015031932391,99,477664,168408155
EoMT,eomt_finetuned,RoadAnomaly21,msp,1.0,,70.76821826915815,13.600856687028159,10,1317063,7578030
